ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
1,人工知能とは,人工知能（AI）の研究分野を提唱するきっかけとなった1956年の会議は何か。,ダートマス会議,ヤルタ会談,ソルベイ会議,バンドン会議,1956年のダートマス会議においてジョン・マッカーシーらが『Artificial Intelligence』という用語を提唱した。
2,人工知能とは,『機械が考えることができるか』という問いを立て、チューリングテストを提案した人物は誰か。,アラン・チューリング,ジョン・フォン・ノイマン,マービン・ミンスキー,クロード・シャノン,アラン・チューリングは1950年の論文でチューリングテストを提案した。
3,人工知能とは,ジョン・マッカーシーが提唱したAIの定義として最も適切なものはどれか。,知的な機械、特に知的なコンピュータプログラムを作る科学と技術,人間の脳を完全に再現する技術,ロボットを製造するための工学,コンピュータの高速化技術,ジョン・マッカーシーはAIを『知的な機械を作る科学と技術』と定義した。
4,人工知能とは,記号を用いて知識を表現し推論を行うアプローチを何というか。,記号主義AI,コネクショニズム,強化学習,進化計算,記号主義AIはルールや論理に基づいて推論を行うアプローチである。
5,人工知能とは,ニューラルネットワークを基盤とするアプローチとして適切なものはどれか。,コネクショニズム,記号主義,エキスパートシステム,プロダクションシステム,コネクショニズムは人間の神経回路を模したニューラルネットワークに基づく。
6,人工知能とは,人間が持つ知識をルールとして記述し推論するシステムを何というか。,エキスパートシステム,GAN,Transformer,サポートベクターマシン,エキスパートシステムは専門家の知識をルール化して推論を行うシステムである。
7,人工知能とは,AIの定義に関する議論で『弱いAI』の説明として適切なものはどれか。,特定の課題を実行するAI,人間と同等の汎用知能を持つAI,自我を持つAI,意識を持つAI,弱いAIは特定のタスクに特化したAIを指す。
8,人工知能とは,人間と同等以上の知能を持ち、幅広い課題をこなせると想定されるAIを何というか。,汎用人工知能（AGI）,エキスパートシステム,機械学習,ルールベースAI,AGIは特定分野に限定されず幅広い知的作業を行えるAIとして研究されている。
9,人工知能とは,人間の知的活動を計算機上で再現することを目的とする学問分野はどれか。,人工知能,データベース,コンピュータグラフィックス,ネットワーク工学,人工知能は人間の知的活動を機械で実現することを目指す研究分野である。
10,人工知能とは,記号接地問題（Symbol Grounding Problem）が指摘する課題として適切なものはどれか。,記号が現実世界の意味とどのように結びつくかという問題,計算速度の問題,メモリ不足の問題,データ不足の問題,記号接地問題は、記号がどのように意味を獲得するのかというAIの根本的課題である。
11,人工知能をめぐる動向,第1次AIブーム（1950年代後半～1960年代）の主な特徴はどれか。,探索と推論への期待の高まり,ディープラーニングの実用化,ビッグデータの活用,生成AIの普及,第1次AIブームでは探索や推論によって人間の知的活動を再現できるとの期待が高まった。
12,人工知能をめぐる動向,第2次AIブームで注目された技術はどれか。,エキスパートシステム,Transformer,GAN,深層強化学習,第2次AIブームでは知識をルールとして表現するエキスパートシステムが注目された。
13,人工知能をめぐる動向,第3次AIブームを牽引した要因として最も適切なものはどれか。,ビッグデータ・計算資源の向上・ディープラーニング,エキスパートシステムの高度化,推論エンジンの高速化,記号処理の普及,第3次AIブームはビッグデータ、GPUなどの計算資源、ディープラーニングの発展によって牽引された。
14,人工知能をめぐる動向,2012年の画像認識コンテストILSVRCで高い性能を示し、ディープラーニングブームを加速させたモデルはどれか。,AlexNet,LeNet,VGG16,ResNet,AlexNetは2012年のILSVRCで従来手法を大きく上回る精度を達成した。
15,人工知能をめぐる動向,AlphaGoが2016年に対戦し勝利した囲碁棋士は誰か。,李世乭（イ・セドル）,井山裕太,柯潔（かけつ）,羽生善治,AlphaGoは2016年に韓国の囲碁棋士である李世乭九段に勝利し、大きな注目を集めた。
16,人工知能をめぐる動向,GPTシリーズやBERTなどの基盤となっているアーキテクチャはどれか。,Transformer,決定木,サポートベクターマシン,k近傍法,TransformerはSelf-Attention機構を用いるアーキテクチャであり、多くの大規模言語モデルの基盤となっている。
17,人工知能をめぐる動向,生成AIの急速な発展に伴い注目されている『基盤モデル（Foundation Models）』の特徴として適切なものはどれか。,大規模データで事前学習し、多様なタスクへ適用できる,単一用途にのみ利用できる,教師なし学習では利用できない,画像データのみを扱う,基盤モデルは大規模な事前学習によって汎用的な能力を獲得し、多様な下流タスクへ適用できる。
18,人工知能をめぐる動向,AIの発展に大きく寄与したGPUの特徴として適切なものはどれか。,並列計算に優れている,逐次処理のみ可能である,記憶容量が極めて小さい,ネットワーク通信専用である,GPUは多数の演算を並列に実行でき、ディープラーニングの学習を高速化した。
19,人工知能をめぐる動向,2024年時点で急速に普及している、テキストや画像など複数のデータ形式を扱うAIを何というか。,マルチモーダルAI,エキスパートシステム,ルールベースAI,進化計算,マルチモーダルAIはテキスト、画像、音声など複数のモダリティを統合的に扱うAIである。
20,人工知能をめぐる動向,AIの能力が人間の知能を大幅に超える転換点を指す概念はどれか。,シンギュラリティ,モラトリアム,トークナイゼーション,フェデレーテッドラーニング,シンギュラリティ（技術的特異点）は、AIが人間の知能を超えて急速に進化するとされる仮説上の転換点である。
21,機械学習の概要,機械学習の3つの主要な学習方法の組み合わせとして正しいものはどれか。,教師あり学習・教師なし学習・強化学習,回帰・分類・クラスタリング,CNN・RNN・Transformer,推論・探索・計画,機械学習は一般に教師あり学習、教師なし学習、強化学習の3つに大別される。
22,機械学習の概要,正解ラベル付きデータを用いて学習する手法はどれか。,教師あり学習,教師なし学習,強化学習,転移学習,教師あり学習では入力データと正解ラベルの組を用いてモデルを学習する。
23,機械学習の概要,データを複数のグループに分けるクラスタリングはどの学習方法に分類されるか。,教師なし学習,教師あり学習,強化学習,転移学習,クラスタリングはラベルのないデータから構造を見つける教師なし学習の代表例である。
24,機械学習の概要,回帰問題の例として最も適切なものはどれか。,住宅価格を予測する,メールをスパムかどうか分類する,画像に写っている動物を分類する,顧客をグループ分けする,回帰は連続値を予測する問題であり、住宅価格予測が代表例である。
25,機械学習の概要,分類問題の例として最も適切なものはどれか。,画像が犬か猫かを判定する,株価を予測する,気温を予測する,売上高を予測する,分類は離散的なカテゴリを予測する問題である。
26,機械学習の概要,過学習（Overfitting）の説明として最も適切なものはどれか。,学習データに過度に適合し、未知データへの性能が低下する状態,学習が不十分な状態,計算資源が不足している状態,データが多すぎる状態,過学習では訓練データには高い精度を示すが、汎化性能が低下する。
27,機械学習の概要,モデルが学習データにもテストデータにも十分な性能を示さない状態を何というか。,未学習（Underfitting）,過学習（Overfitting）,転移学習,蒸留,未学習ではモデルがデータの特徴を十分に捉えられていない。
28,機械学習の概要,モデルの汎化性能を評価するためにデータを複数回分割して評価する手法はどれか。,交差検証（Cross Validation）,正則化,ドロップアウト,バッチ正規化,交差検証は限られたデータを有効活用し、汎化性能を評価するために用いられる。
29,機械学習の概要,正解と予測の差を数値化し、学習の目的関数として用いられるものはどれか。,損失関数,活性化関数,評価関数,特徴量,損失関数は予測誤差を定量化し、モデル学習の最適化対象となる。
30,機械学習の概要,機械学習モデルが未知のデータに対して適切な予測を行う能力を何というか。,汎化性能,表現学習,特徴抽出,次元削減,汎化性能は、学習時に見ていないデータに対する性能を表す重要な概念である。
31,ディープラーニングの概要,ディープラーニングの主な特徴として最も適切なものはどれか。,多層のニューラルネットワークによって特徴量を自動学習できる,すべての特徴量を人手で設計する必要がある,ルールベースでのみ動作する,必ず教師なし学習である,ディープラーニングでは多層のニューラルネットワークを用いて、データから特徴量を自動的に学習する。
32,ディープラーニングの概要,ニューラルネットワークの最も基本的な構成要素はどれか。,ニューロン（パーセプトロン）,決定木,サポートベクターマシン,ベイズネットワーク,ニューラルネットワークはニューロン（パーセプトロン）を多数接続して構成される。
33,ディープラーニングの概要,ニューラルネットワークにおいて、データを受け取る最初の層を何というか。,入力層,隠れ層,出力層,プーリング層,入力層は特徴量を受け取り、後続の層へ伝播する役割を持つ。
34,ディープラーニングの概要,ニューラルネットワークにおいて、最終的な予測結果を出力する層を何というか。,出力層,入力層,隠れ層,正規化層,出力層では分類結果や回帰値などの最終出力を生成する。
35,ディープラーニングの概要,ディープラーニングにおける『深い（Deep）』の意味として適切なものはどれか。,隠れ層が多層化されていること,データ量が多いこと,計算速度が速いこと,モデルサイズが小さいこと,『Deep』はニューラルネットワークの層が深く、多数の隠れ層を持つことを指す。
36,ディープラーニングの概要,ディープラーニングの発展に大きく寄与した計算資源はどれか。,GPU,HDD,プリンタ,ルータ,GPUの並列計算能力により、大規模なニューラルネットワークの学習が可能になった。
37,ディープラーニングの概要,ディープラーニングの性能向上に寄与した3つの要素の組み合わせとして最も適切なものはどれか。,大量のデータ・高性能計算資源・アルゴリズムの進歩,低速CPU・少量データ・ルールベース,データ圧縮・暗号化・仮想化,ネットワーク帯域・センサ・IoT,第3次AIブームは大量のデータ、GPUなどの計算資源、アルゴリズムの進歩によって支えられている。
38,ディープラーニングの概要,入力から出力へ一方向に情報が伝わる最も基本的なニューラルネットワークを何というか。,フィードフォワードニューラルネットワーク,リカレントニューラルネットワーク,敵対的生成ネットワーク,自己組織化マップ,フィードフォワードニューラルネットワークでは、情報は入力層から出力層へ順方向に伝播する。
39,ディープラーニングの概要,ディープラーニングにおいて、人手による特徴量設計の負担が軽減される理由として最も適切なものはどれか。,特徴量をデータから自動的に学習できるため,特徴量が不要だから,すべてのデータを暗号化するため,学習データが不要だから,ディープラーニングでは階層的な特徴表現を自動学習するため、特徴量エンジニアリングの負担を軽減できる。
40,ディープラーニングの概要,ニューラルネットワークの学習において、予測値と正解値の誤差を小さくするようにパラメータを更新することを何というか。,最適化,クラスタリング,次元削減,量子化,学習では損失関数を最小化するように重みやバイアスを最適化する。
41,ディープラーニングの要素技術,ニューラルネットワークの学習において、出力層から入力層へ誤差を伝播させて勾配を計算する手法はどれか。,バックプロパゲーション（誤差逆伝播法）,k近傍法,主成分分析,決定木,バックプロパゲーションは連鎖律を利用して各パラメータの勾配を効率的に計算する手法である。
42,ディープラーニングの要素技術,負の入力に対して0を出力し、正の入力に対して入力値をそのまま出力する活性化関数はどれか。,ReLU関数,シグモイド関数,tanh関数,ソフトマックス関数,"ReLU関数はf(x)=max(0,x)で定義され、現在の深層学習で広く用いられている。"
43,ディープラーニングの要素技術,分類問題の出力層で確率分布を得るためによく用いられる活性化関数はどれか。,ソフトマックス関数,ReLU関数,恒等関数,ステップ関数,ソフトマックス関数は各クラスの出力を0～1の確率に変換し、その総和を1にする。
44,ディープラーニングの要素技術,勾配消失問題を緩和し、深いネットワークの学習を容易にした活性化関数として最も適切なものはどれか。,ReLU関数,ステップ関数,線形関数,恒等関数,ReLUはシグモイド関数などに比べて勾配消失が起こりにくい。
45,ディープラーニングの要素技術,CNNにおけるプーリング層の主な目的はどれか。,特徴マップの空間サイズを縮小し計算量を削減する,出力を確率分布に変換する,誤差を逆伝播させる,重みを初期化する,プーリング層は特徴量を集約し、計算量や過学習の抑制に寄与する。
46,ディープラーニングの要素技術,学習時に一部のニューロンをランダムに無効化して過学習を抑制する手法はどれか。,Dropout,Batch Normalization,Early Stopping,Weight Decay,Dropoutは学習時に一部のニューロンを無効化し、モデルの汎化性能を向上させる。
47,ディープラーニングの要素技術,各層の出力を正規化して学習を安定化・高速化する手法はどれか。,Batch Normalization,Max Pooling,LSTM,Attention,Batch Normalizationは内部共変量シフトを緩和し、学習を安定化させる。
48,ディープラーニングの要素技術,時系列データの処理に適したニューラルネットワークとして代表的なものはどれか。,RNN（Recurrent Neural Network）,CNN,オートエンコーダ,GAN,RNNは過去の情報を内部状態として保持しながら系列データを処理する。
49,ディープラーニングの要素技術,長期依存関係を学習するためにRNNを改良したモデルとして代表的なものはどれか。,LSTM,k-means,ナイーブベイズ,ResNet,LSTMはゲート機構を導入することで勾配消失問題を緩和し、長期依存関係を学習できる。
50,ディープラーニングの要素技術,TransformerのSelf-Attentionで使用される3つのベクトルの組み合わせはどれか。,Query・Key・Value,Input・Hidden・Output,Mean・Variance・Bias,Precision・Recall・F1-score,Self-AttentionではQueryとKeyの関連度を計算し、その結果を用いてValueを集約する。
